1.995262314968878854e+04 1.928286946913224824e+02 9.999971004345341585e-01
2.043359717856939460e+04 1.880715686922331429e+02 9.999970267065833029e-01
2.092616547326272484e+04 1.834452553473672367e+02 9.999969571041673611e-01
2.143060752287134528e+04 1.789461519428301983e+02 9.999968799976225453e-01
2.194720955380757732e+04 1.745707564449203630e+02 9.999968078548727712e-01
2.247626469220161744e+04 1.703156561625619076e+02 9.999967302719857676e-01
2.301807313022465314e+04 1.661775870390955561e+02 9.999966544754830267e-01
2.357294229642174832e+04 1.621532944551238415e+02 9.999965787185136623e-01
2.414118703015030042e+04 1.582396764628294079e+02 9.999964996364739678e-01
2.472312976022350267e+04 1.544337104240109113e+02 9.999964208469875881e-01
2.531910068786061674e+04 1.507324128497979814e+02 9.999963409370243861e-01
2.592943797404667202e+04 1.471329003557184194e+02 9.999962603876721978e-01
2.655448793140937414e+04 1.436324294000145017e+02 9.999961774349549470e-01
2.719460522072086678e+04 1.402282221706232974e+02 9.999960942948167286e-01
2.785015305213629472e+04 1.369176905787442706e+02 9.999960104860232679e-01
2.852150339128388077e+04 1.336982214669944540e+02 9.999959294903859597e-01
2.920903717032249915e+04 1.305673440239607146e+02 9.999958354707785269e-01
2.991314450408691118e+04 1.275226143631191604e+02 9.999957523785869551e-01
3.063422491144392188e+04 1.245616674056654460e+02 9.999956628019911475e-01
3.137268754198395618e+04 1.216822108425588596e+02 9.999955729081687616e-01
3.212895140817719948e+04 1.188820185042182089e+02 9.999954826438025579e-01
3.290344562312664493e+04 1.161589161756368469e+02 9.999953823913114714e-01
3.369660964405175764e+04 1.135107737142196669e+02 9.999952964724393434e-01
3.450889352164152660e+04 1.109355430836452570e+02 9.999951892566095735e-01
3.534075815541900374e+04 1.084312467335500969e+02 9.999951035083172179e-01
3.619267555526092474e+04 1.059959121568552121e+02 9.999949898663488268e-01
3.706512910922152514e+04 1.036276788993149438e+02 9.999948919443945039e-01
3.795861385781317949e+04 1.013246823728139248e+02 9.999947991934377001e-01
3.887363677489766997e+04 9.908516030342187264e+01 9.999947082006965804e-01
3.981071705534969078e+04 9.690736139035826113e+01 9.999945889963390844e-01
4.077038640965400555e+04 9.478961601846590668e+01 9.999944762436563384e-01
4.175318936560400471e+04 9.273026485461822688e+01 9.999943494155050239e-01
4.275968357727374678e+04 9.072772346698147317e+01 9.999942690195824380e-01
4.379044014143729146e+04 8.878043355792148361e+01 9.999941328031698440e-01
4.484604392161547003e+04 8.688689205562305062e+01 9.999940255217989460e-01
4.592709387993498967e+04 8.504563334140708264e+01 9.999938795565057603e-01
4.703420341698634729e+04 8.325522774316706887e+01 9.999937661379181275e-01
4.816800071987435513e+04 8.151429326895566874e+01 9.999936189612681492e-01
4.932912911865952628e+04 7.982148352303478589e+01 9.999935167179780926e-01
5.051824745139090373e+04 7.817549195597551659e+01 9.999933667148884764e-01
5.173603043793831603e+04 7.657503757091575380e+01 9.999932237797820589e-01
5.298316906283701974e+04 7.501889595534200339e+01 9.999930810937723846e-01
5.426037096736027888e+04 7.350586036566059533e+01 9.999929485745413515e-01
5.556836085104304948e+04 7.203476608156792338e+01 9.999928405323683656e-01
5.690788088288580911e+04 7.060446604944084470e+01 9.999926464789572478e-01
5.827969112246970326e+04 6.921387072648383310e+01 9.999924558777368855e-01
5.968456995122304215e+04 6.786189935195602629e+01 9.999922520673460991e-01
6.112331451408489374e+04 6.654753043265071710e+01 9.999921032956496925e-01
6.259674117181421025e+04 6.526973370072362002e+01 9.999918929259757894e-01
6.410568596420226095e+04 6.402753999996777168e+01 9.999917511498499501e-01
6.565100508445242303e+04 6.281998259318386602e+01 9.999915297267313319e-01
